"Original Text","Initial","Machine translation","Better translation","Best translation"
"\E行商の途中、お腹を空かせた少女に出会う。
街までは遠く、手持ちの食料は少ないが売り物の野菜ならある。","","\EOn the way of peddling, I encounter a hungry girl.
The town is far away and I have little food, but I have vegetables to sell.","\E\font[3]\f[18]\-[2]While traveling as a street vendor, I encounter a hungry girl.
The town is far away and I have little food, but I have vegetables to sell.",""
"足早に立ち去る","","Hastily leaving","\font[3]\f[18]Hastily leave the scene",""
"食料を分け与える","","Provide food rations.","\font[3]\f[18]Share my food with her",""
"野菜をぶち込む","","Throw in the vegetables.","\font[3]\f[18]Throw the vegetables at her",""
"取引する","","Eng:","\font[3]\f[18]Make a deal with her",""
"設問4","","","",""
"\E立ち寄った小さな村で少女はこう言った。
「母の病を治すためにあの森の奥にある泉の水が必要なのです…。」","","\EThe girl said in the small village she visited, 
""We need the water from the spring deep in that forest to cure my mother's illness.""","\E\font[3]\f[18]\-[2]In a small village where I visited, one girl said this to me: 
""We need the water from the spring deep in that forest to cure my mother's illness.""",""
"フヒッ任せろ","","Leave it to me","\font[3]\f[18]Heh, leave it to me",""
"その辺の水を汲んでくる","","Fetching water from around here.","\font[3]\f[18]Fetch the water from around here",""
"街まで医者を呼びに行く","","Go to the town to call a doctor.","\font[3]\f[18]Go to the city to call a doctor",""
"でもクマとか怖いし…","","But bears are scary...","\font[3]\f[18]But bears are scary...",""
"設問5","","","",""
"\E広い大きな川を小舟で渡っている。
中程まで来たところで突然船底に穴が空いた！","","\EI am crossing a wide, big river in a small boat.
When I reached the middle, suddenly a hole opened up in the bottom of the boat!","\E\font[3]\f[18]\-[2]I am crossing a wide, big river in a small boat.
When I reached halfway across the river, a hole suddenly opened up in the bottom of the boat!",""
"泳ぐ","","Swim","\font[3]\f[18]Swim to safety",""
"水を掻き出す","","Scooping out water","\font[3]\f[18]Scoop out the water",""
"穴を塞ぐ物を探す","","Searching for something to fill the hole.","\font[3]\f[18]Search for something to plug the hole",""
"ああああああああ！！！！！（ﾌﾞﾘﾌﾞﾘﾌﾞﾘｭ","","Aaaaaaa!!!!!! (Bri-bri-bri-nyu)","\font[3]\f[18]Aaaahhhhhhhh!!!!!!!! (frantically screaming)",""
"\E自分の未来は。","","\EMy future is.","\E\font[3]\f[18]\-[2]My future?
",""
"自分の手で切り開く","","Carve your own path.","\font[3]\f[18]I want to carve it out with my own hands",""
"自由でありたい","","I want to be free.","\font[3]\f[18]I want to be free",""
"安定が欲しい","","I want stability.","\font[3]\f[18]I want stability and security",""
"神のみぞ知る","","Only God knows.","\font[3]\f[18]Only God knows",""
"\Eあなたは……\cdb[0:12:0]\cdb[0:12:1]お兄ちゃんです。","","","\E\font[3]\f[18]\-[2]You are... \cdb[0:12:0] \cdb[0:12:1] Onii-chan.",""
"肩書に応じたステータスを取得","","","",""
"勇猛な","","","",""
"覚悟完了","","","",""
"無謀な","","","",""
"強運の","","","",""
"優柔不断","","","",""
"冷静な","","","",""
"誉を捨てた","","","",""
"現実的","","","",""
"慎重な","","","",""
"慈悲深い","","","",""
"変態","","","",""
"根菜","","","",""
"守銭奴","","","",""
"クマヘッド","","","",""
"臆病な","","","",""
"生まれ変わった","","","",""
"下心","","","",""
"スケベ","","","",""
"脳筋","","","",""
"策略家","","","",""
"イケメン","","","",""
"お人好し","","","",""
"優しい","","","",""
"ワンチャン","","","",""
"水も滴る","","","",""
"波乱万丈","","","",""
"不幸","","","",""
"知的","","","",""
"絶叫","","","",""
"脱糞","","","",""
"気合い","","","",""
"天才","","","",""
"\E引き継げる力があります。","","","\E\font[3]\f[18]\-[2]You have the ability to carry over.",""
"やりなおし","","","",""
"強さ","","","\font[3]\f[18]Strength",""
"賢さ","","","\font[3]\f[18]Wisdom",""
"信頼できる家族","","","\font[3]\f[18]Trust",""
"えっちな妹","","","\font[3]\f[18]Interest",""
"所持金","","","\font[3]\f[18]Money",""
"仲間のLV","","","\font[3]\f[18]Companion's Level",""
"不屈の肉体　","","Indomitable physique","\font[3]\f[18]Indomitable Body",""
"引き継ぎ","","","",""
"引き継ぎボーナス","","","",""
"\Eあなたが欲しい初期ボーナスを振り分けて下さい。
引き継ぎポイント \v[551]","","","\E\font[3]\f[18]\-[2]Please distribute the initial bonus you want.
\v[551] carry over point(s) left.",""
"\s[16]","","","\s[16]",""
"\s[17]","","","\s[17]",""
"\s[18]","","","\s[18]",""
"\s[19]","","","\s[19]",""
"\s[20]","","","\s[20]",""
"\s[21]","","","\s[21]",""
"\s[22]","","","\s[22]",""
"やりなおす　","","","\font[3]\f[18]Redistribute",""
"引き継がない","","","\font[3]\f[18]Skip",""
"強さ★","","","\font[3]\f[18]Strength\font[0]★",""
"強さ★★","","","\font[3]\f[18]Strength\font[0]★★",""
"強さ★★★","","","\font[3]\f[18]Strength\font[0]★★★",""
"強さ★★★★","","","\font[3]\f[18]Strength\font[0]★★★★",""
"賢さ★","","","\font[3]\f[18]Wisdom\font[0]★",""
"賢さ★★","","","\font[3]\f[18]Wisdom\font[0]★★",""
"賢さ★★★","","","\font[3]\f[18]Wisdom\font[0]★★★",""
"賢さ★★★★","","","\font[3]\f[18]Wisdom\font[0]★★★★",""
"信頼できる家族★","","","\font[3]\f[18]Trust\font[0]★",""
"信頼できる家族★★","","","\font[3]\f[18]Trust\font[0]★★",""
"信頼できる家族★★★","","","\font[3]\f[18]Trust\font[0]★★★",""
"信頼できる家族★★★★","","","\font[3]\f[18]Trust\font[0]★★★★",""
"えっちな妹★","","","\font[3]\f[18]Interest\font[0]★",""
"えっちな妹★★","","","\font[3]\f[18]Interest\font[0]★★",""
"えっちな妹★★★","","","\font[3]\f[18]Interest\font[0]★★★",""
"えっちな妹★★★★","","","\font[3]\f[18]Interest\font[0]★★★★",""
"所持金★","","","\font[3]\f[18]Money\font[0]★",""
"所持金★★","","","\font[3]\f[18]Money\font[0]★★",""
"所持金★★★","","","\font[3]\f[18]Money\font[0]★★★",""
"所持金★★★★","","","\font[3]\f[18]Money\font[0]★★★★",""
"仲間のLV★","","","\font[3]\f[18]Companion's Level\font[0]★",""
"仲間のLV★★","","","\font[3]\f[18]Companion's Level\font[0]★★",""
"仲間のLV★★★","","","\font[3]\f[18]Companion's Level\font[0]★★★",""
"仲間のLV★★★★","","","\font[3]\f[18]Companion's Level\font[0]★★★★",""
"引き継ぎ処理終了","","","",""
"\E<C>数日前─。<L>","","","\E\font[3]\f[18]\-[2]<C>A few days ago\font[0]─<L>

",""
"父","","","\font[3]\f[18]Father",""
"\E…そんな訳でしばらく家を空けることになった。","","\E...So, I ended up leaving my house for a while.","\E\font[3]\f[18]\-[2]...So, I will be away from home for a while.",""
"\Eいつまで？
そりゃもちろん、お宝を見つけるまでさ。","","\EUntil when?
Of course, until we find the treasure.","\E\font[3]\f[18]\-[2]Until when?
Well, of course, until I find the treasure.",""
"\Eま、いつもどおりってやつだ。","","\EWell, it's just the usual.","\E\font[3]\f[18]\-[2]Really, it's just business as usual.",""
"\Eただ…お前はともかく、
妹はまだ学生だ、身体も丈夫な方じゃないからな。","","\EHowever... as for you, 
my sister is still a student and not in the best physical condition.","\E\font[3]\f[18]\-[2]However... leaving you aside, 
your sister is still a student and not particularly strong physically.",""
"\Eそこはしっかり支えて面倒をみてやってくれ。
じゃ頼んだぜ、お兄ちゃん。","","\EPlease support and take care of it properly.
I'm counting on you, big brother.","\E\font[3]\f[18]\-[2]Please be sure to support and take care of her properly.
I'm counting on you, Onii-chan.",""
"妹に起こされて出社？する描写","","","",""
"BGM/sparrows.mp3","","","",""
"妹","","","\font[3]\f[18]Imouto",""
"\E…おにいちゃん、おにーちゃん！
ほらあ、そろそろ起きないと遅れちゃうよー。","","\E...Onii-chan, onii-chan! 
Hey, come on, you need to wake up soon or you'll be late.","\E\font[3]\f[18]\-[2]...Onii-chan, Onii-chan! 
Come on, you need to wake up soon or you'll be late!",""
"\E……。","","","\E\font[3]\f[18]......",""
"cg/whitescreen.jpg","","","",""
"SE/se_basa.mp3","","","",""
"1.4.0/v144_cg1_2.jpg","","","",""
"\Eお""・に""・い""・ぢ・ゃ・ん""っ！","","","\E\font[3]\f[26]\-[2]O...nii...-chan....!",""
"cg/bg_01_home_a.jpg","","","",""
"\Eおはよう、お兄ちゃん。
ご飯できてるよ、いっしょにたべよ。","","\EGood morning, big brother.
The meal is ready, let's eat together.","\E\font[3]\f[18]\-[2]Good morning, Onii-chan. 
The breakfast is ready, let's eat together.",""
"ギルド","","","",""
"cg/map_01.jpg","","","",""
"\E都市部から少し離れた山間の村「メクア」。","","\EA village called ""Mekua"" nestled in the mountains, a little away from the urban areas.","\E\font[3]\f[18]\-[2]The village of ""Mekua,"" situated in the mountains, a little away from the city.",""
"cg/bg_17_main.jpg","","","",""
"\E森と湖畔に囲まれた豊かな自然とのどかな景色。
そんな牧歌的な村のさらに外れにある小さなログハウス。","","","\E\font[3]\f[18]\-[2]Surrounded by forests and lakeshores, it offers a rich natural beauty and serene scenery.
At the outskirts of such idyllic village sits a small log house.",""
"\E<C>「冒険者ギルドメクア支部」<L>","","","\E\font[3]\f[18]\-[2]<C>""Adventurer's Guild Mekua Branch"".",""
"\Eいかにも手製感あふれる看板にはそう書かれている。","","","\E\font[3]\f[18]\-[2]The sign, exuding a truly handmade feel, is written with those very words.",""
"BGM/autumncome.ogg","","","",""
"cg/bg_07_guild_e.jpg","","","",""
"ユカリ","","","\font[3]\f[18]Yukari",""
"Picture/talk_ef01.png","","","",""
"\Eおかえりなさいお兄ちゃん、ご苦労さま。
道中危ないことはなかった？","","\EWelcome back, big brother. Good job.
Did anything dangerous happen on the way?","\E\font[3]\f[18]\-[2]Welcome back, Onii-chan. Good work. 
Did anything dangerous happen on the way?",""
"cg/bg_07_guild_f.jpg","","","",""
"カナ","","","\font[3]\f[18]Kana",""
"Picture/talk_ef02.png","","","",""
"\Eマスター…
ただのお使いするだけで危険も何もないよー。","","\EMaster...
There's no danger in just running errands.","\E\font[3]\f[18]\-[2]Master...
There's no danger in just running simple errands.",""
"\Eあら、何事もなかったならなによりじゃない。","","\EWell, if nothing happened, that's the best thing, isn't it?","\E\font[3]\f[18]\-[2]Oh, if nothing happened, that's good.",""
"\Eうちはうち、よそはよそ。
適材適所よ。","","","\E\font[3]\f[18]\-[2]Every place is different. 
It's crucial to find the right person for the right task.",""
"\Eでもねー…腕が鈍っちゃうよね。","","","\E\font[3]\f[18]\-[2]But you know... our skills can get rusty.",""
"cg/bg_07_guild_g.jpg","","","",""
"ユイ","","","\font[3]\f[18]Yui",""
"Picture/talk_ef03.png","","","",""
"\Eわ、私は今みたいなのんびりでも嫌じゃないよ。
無理して怪我とかしたら…嫌だな…。","","\EWell, I don't mind being relaxed like this now.
I wouldn't want to force myself and get injured... that would be awful...","\E\font[3]\f[18]\-[2]Well, personally, I don't mind taking it easy like this right now. 
I wouldn't want to risk getting hurt by pushing myself too hard.",""
"cg/bg_07_guild_d.jpg","","","",""
"難易度選択","","","",""
"「そうだな。」　\f[12]NORMAL","","","\font[3]\f[18]""You have got a point."" \c[1]\f[14]NORMAL\c[0]",""
"\f[20]「もう少し張り合いがあっても…。」　\f[12]HARD","","","\font[3]\f[18]""If only there was a bit more..."" \c[2]\f[14]HARD",""
"\Eそうよ、安全第一。
とにかく今日もおつかれさまでした。","","","\E\font[3]\f[18]\-[2]That's right, safety first. 
Anyway, thank you for your hard work today.",""
"\E雑に難易度が上がるおまけモードです\c[2]初回はおすすめしません。
\c[0]クリア出来る保証はしませんがよろしいですか？","","\EIt's an extra mode where the difficulty level increases haphazardly.\c[2]I don't recommend it for the first time.
\c[0]There is no guarantee that you will be able to clear it, but is that okay with you?","\E\font[3]\f[18]\-[2]This is a bonus mode where the difficulty increases significantly. 
\c[2]We don't recommend it for your first playthrough.\c[0] 
There is no guarantee that you will be able to clear it, but is that okay with you?",""
"はい","","","\font[3]\f[18]Yes",""
"いいえ","","","\font[3]\f[18]No",""
"\Eそういうのはもうちょっと強くなってからいうの。
それまでは安全第一、ね。","","","\E\font[3]\f[18]\-[2]I suggest bringing that up once you've become a bit stronger. 
Until then, safety comes first, okay?",""
"\Eはい、これは今日のお仕事料。","","","\E\font[3]\f[18]\-[2]Here is the payment for the work done today.
",""
"\Eそういえばお兄ちゃんは家で妹さんと二人なんでしょ？
妹さんはまだ学生なんだし…なおさらよ。","","","\E\font[3]\f[18]\-[2]Speaking of which, Onii-chan, you're at home with your sister, aren't you?
And considering she's still a student... your safety is even more important.",""
"（確かに、妹の事を考えると無茶はできないな…）","","","\font[3]\f[18](Right, I can't afford to be reckless when it comes to her...)",""
"\Eね？
じゃあみんな今日は遅くなる前にお家に帰ること。","","","\E\font[3]\f[18]\-[2]Well?
Also, you guys should head back home before it gets too late today.",""
"\Eまたそんな子供相手みたいな言い方してー","","","\E\font[3]\f[18]\-[2]Oh, come on, don't treat us like we're still children again\font[0]ー",""
"\Eあら？あたしから見たらみんな子供みたいなものよ。","","","\E\font[3]\f[18]\-[2]Oh? From my point of view, you are all just children.",""
"\E出た！
マスターのエルフアピール。","","","\E\font[3]\f[18]\-[2]Ah, there it is! Master's elf nature.",""
"\Eなによ出たってー
とにかくみんな今日はお疲れさま、また明日ね。","","","\E\font[3]\f[18]\-[2]What's that supposed to mean? 
Anyway, everyone, well done today. See you again tomorrow.",""
"\Eギルドメンバーのカナ、ユイ。
ギルドマスターのユカリに出会った。","","","\E\font[3]\f[18]\-[2]I ran into Kana and Yui, fellow guild members. 
I also met Yukari, the guild master.",""
"system","","","\font[3]\f[18]system",""
"BGM/yuuyake.mp3","","","",""
"\Eあ、お兄ちゃんおかえり。","","","\E\font[3]\f[18]\-[2]Ah, Onii-chan. Welcome back.",""
"\Eごはんの用意できてるよ、一緒に食べよう。","","","\E\font[3]\f[18]\-[2]The dinner is ready, let's eat together.",""
"\E……………………。","","","\E\font[3]\f[18]\-[2]............",""
"\E妹の手料理を食べて少し元気になった。","","","\E\font[3]\f[18]\-[2]I ate my sister's cooking and felt a little better.",""
"妹クリック判定（夜","","","",""
"1.4.0/SD_menu_001.png","","","",""
"\E様々な分野の\c[2]理解\c[0]を深めます。","","","\font[3]\f[16]\-[2]\EYou can deepen your \c[2]understanding\c[0] in various fields.",""
"1.4.0/SD_menu_005.png","","","",""
"\E自主トレーニングを行い\c[2]各能力\c[0]を鍛えます。","","","\font[3]\f[16]\-[2]\EYou can strengthen \c[2]various abilities\c[0] by engaging in self-training.",""
"アイテムアイコン109","","","",""
"Picture/sub_button03.png","","","",""
"ステータスアイコン110","","","",""
"Picture/sub_button04.png","","","",""
"妹クリック判定","","","",""
"<SQUARE>","","","",""
"ロード後の処理","","","",""
"休日の挙動確認後10000番は消してもいいかも？","","","",""
"save/system.sav","","","",""
"メニュー処理","","","",""
"Message","","","\font[3]\f[18]message",""
"\E\f[12]Ver1.1.0 アップデート
週末に「討伐」「大冒険」が追加されました。
　","","","\E\font[3]\f[18]\-[2]Version 1.1.0 Update
""Subjugation Request"" and ""Grand Adventure"" have been added as new weekend options.",""
"\E\f[12]引き続き「妹！せいかつ～ファンタジー～」をお楽しみください！","","","\E\font[3]\f[18]\-[2]Please continue to enjoy ""Imouto! Seikatsu ~Fantasy~""",""
"選択肢を表示させる場合並列処理だと挙動がおかしくなる","","","",""
"\E現在のバージョンで遊べるのはここまでです！
ご感想などありましたらコメント頂けますと嬉しく思います！","","","\E\font[3]\f[18]\-[2]That's all you can play for now with the current version! 
If you have any feedback or comments, please let us know in the comments section. 
We would be happy to hear from you!",""
"\Eお兄ちゃん、お風呂用意できてるから。","","","\E\font[3]\f[18]\-[2]Onii-chan, the bath is ready for you.",""
"\Eお兄ちゃん、お風呂用意できてるよ。","","","\E\font[3]\f[18]\-[2]Onii-chan, the bath is ready for you.",""
"\Eお兄ちゃん、そろそろお風呂入りなよー。","","","\E\font[3]\f[18]\-[2]Onii-chan, it's about time for you to take a bath.",""
"健康的","","","",""
"週末モード","","","",""
"週末","","","",""
"cg/bg_01_home_d.jpg","","","",""
"\Eうーん…眠いぞ……。","","","\E\font[3]\f[18]\-[2]Hmm... I'm sleepy...",""
"\Eさすがにそろそろ寝ないとな…。","","","\E\font[3]\f[18]\-[2]It's getting late, I should go to bed soon...",""
"\Eふわ……眠くなってきたな…。","","","\E\font[3]\f[18]\-[2]*yawn*... I'm starting to feel sleepy",""
"\E…………なに…？","","","\E\font[3]\f[18]\-[2]......What...?",""
"\E（ううむ、なんだか気まずいな…。","","","\E\font[3]\f[18]\-[2](Yikes, this kind of awkward...)",""
"\E…………あ、お兄ちゃん…。","","","\E\font[3]\f[18]\-[2]......Ah, Onii-chan...",""
"\Eはーい！お兄ちゃん！","","","\E\font[3]\f[18]\-[2]Yes! Onii-chan!",""
"\Eなになに？","","","\E\font[3]\f[18]\-[2]What's up?",""
"\E…なにか用？","","","\E\font[3]\f[18]\-[2]...Do you need something?",""
"\E…………。","","","\E\font[3]\f[18]\-[2]......",""
"\E…けほっけほっ。","","","\E\font[3]\f[18]\-[2]...*cough* *cough*...",""
"\E…はぁはぁ……。","","","\E\font[3]\f[18]\-[2]...*pant* *pant...",""
"吐血エンド","","","",""
"\E…………………。","","","\E\font[3]\f[18]\-[2].........",""
"\E……………………………………………。","","","\E\font[3]\f[18]\-[2]............",""
"\Eん？どうし………………","","","\E\font[3]\f[18]\-[2]Huh? Wh......",""
"cg/ending_001_01.png","","","",""
"\f[48]\Eうわああああああああ","","","\E\font[3]\f[48]\-[2]NOOOOOOOOO!!!",""
"\f[48]\E妹ーーーーーーーーーっ！！！","","","\E\font[3]\f[48]\-[2]MY SISTER--!!!!!!!",""
"SE/130502_01.mp3","","","",""
"cg/ending_001_02.png","","","",""
"\E残念ながらあなたの冒険はここで終わってしまった…！","","","\E\font[3]\f[18]\-[2]What a pity! 
Your adventure has come to an end here...!",""
"\Eもっと妹を大切にいたわりましょう。
当然ながらお兄ちゃん失格です。","","","\E\font[3]\f[18]\-[2]Let's treat our sister with utmost care and consideration. 
Needless to say, you have failed as an Onii-chan.",""
"<C>\EBADEND　～昇天～","","","\E\font[3]\f[18]\-[2]<C>BAD END 
~Ascension~",""
"メニュー表示","","","",""
"サブメニュー表示","","","",""
"Picture/sub_button01.png","","","",""
"お知らせアイコン108","","","",""
"Picture/sub_button02.png","","","",""
"帰宅処理","","","",""
"cg/map_05.jpg","","","",""
"\Eうーん、ぐっすり寝ているようだ…。","","","\E\font[3]\f[18]\-[2]Hmm, looks like she is sleeping soundly...",""
"寝顔を眺める","","","Watch her sleeping face",""
"そっとシーツを掛け直す","","","Gently adjust the sheets",""
"悪戯しちゃう","","","\font[3]\f[18]Cause some mischief",""
"\s[0]","","","\font[3]\f[18]\s[0]",""
"今日はもう寝る","","","\font[3]\f[18]Go to bed",""
"\E明日はいよいよ八会の決勝だ…
今夜はさっさと寝とこうぜ。","","","\E\font[3]\f[18]\-[2]Tomorrow is the big finale of the Hachioji tournament,
so let's go to bed early tonight.",""
"\E明日は出かけるからな…
今夜はさっさと寝とこうぜ。","","","\E\font[3]\f[18]\-[2]We're going out tomorrow,  
so let's go to bed early tonight.",""
"サブメニュー表示OFF","","","",""
"\E妹は具合が悪そうだ…
今日は静かに寝せておこうぜ？","","","\E\font[3]\f[18]\-[2]She is not feeling well... 
Let's let her sleep quietly today, okay?",""
"\E妹を起こさないようにそっとシーツを掛け直した…。","","","\E\font[3]\f[18]\-[2]I gently adjusted the sheets so as not to wake her up...",""
"\Eすやすやと静かに寝息を立てている…。","","","\E\font[3]\f[18]\-[2]She is sleeping soundly, 
with calm and quiet rhythm in her breathing...",""
"\E朝まで寝るのか？","","","\E\font[3]\f[18]\-[2]Should I sleep until morning?",""
"\Eそうだな、寝よう…。","","","\E\font[3]\f[18]\-[2]Okay, let's go to sleep...",""
"この日の寝相画像を表示","","","",""
"BGM/oyasumi no kiss wo1.mp3","","","",""
"騎乗位判定？","","","",""
"デバック用","","","",""
"A","","","",""
"妹ステータス","","","",""
"兄ステータス","","","",""
"アイテム補充","","","",""
"深夜用デバック","","","",""
"行動回復","","","",""
"調子","","","",""
"B","","","",""
"信頼　　\f[12]（\v[21]）\f[20]","","","",""
"性興味　\f[12]（\v[22]）\f[20]","","","",""
"性欲　　\f[12]（\v[102]）\f[20]","","","",""
"機嫌　　\f[12]（\v[23]）\f[20]","","","",""
"気まずい\f[12]（\v[151]）\f[20]","","","",""
"体調　　\f[12]（\v[20]）\f[20]","","","",""
"爆破","","","",""
"高い","","","",""
"普通","","","",""
"低い","","","",""
"ほどほど","","","",""
"50","","","",""
"-50","","","",""
"機嫌を良くする","","","",""
"機嫌を悪くする","","","",""
"気まずくする","","","",""
"解消","","","",""
"平常時","","","",""
"体調不良軽","","","",""
"体調不良中","","","",""
"体調不良重","","","",""
"深夜パート失敗ルートへ","","","",""
"妹爆発","","","",""
"\E…お兄ちゃん…","","","\E\font[3]\f[18]\-[2]...Onii-chan...",""
"\E\f[32]最っ低！！！！！！！！","","","\E\font[3]\f[32]\-[2]YOU'RE THE WORST!!!!!!!!",""
"cg/explosion01.jpg","","","",""
"SE/small_explosion1.mp3","","","",""
"cg/explosion02.jpg","","","",""
"cg/explosion03.jpg","","","",""
"cg/explosion04.jpg","","","",""
"cg/explosion05.jpg","","","",""
"cg/explosion06.jpg","","","",""
"cg/explosion07.jpg","","","",""
"cg/explosion08.jpg","","","",""
"cg/explosion09.jpg","","","",""
"cg/explosion10.jpg","","","",""
"cg/explosion11.jpg","","","",""
"cg/explosion12.jpg","","","",""
"cg/explosion13.jpg","","","",""
"\E─閃光と轟音。","","","\E\font[3]\f[18]\-[2]—Blinding flash and thunderous roar.",""
"\E刹那に叩きつけられた衝撃波。
何かの砕ける音、割れる窓、吹き飛ぶ壁。","","","\E\font[3]\f[18]\-[2]In an instant, a shockwave struck me—a resounding crack of breaking objects, 
the shattering of windows, and the crumbling of walls.",""
"\E横薙ぎに倒れる木々、吹き飛んだ家…だったもの。
見えるはずのない星空、感じるはずのない夜の風─","","","\E\font[3]\f[18]\-[2]Trees tumbling sideways, houses blown away—things that were once there. 
An unexpectedly visible starry sky, a night breeze that defies expectation...",""
"\E何が起こったのか？
それらの知覚をついに理解することは叶わなかった。","","","\E\font[3]\f[18]\-[2]What happened? 
You could never fully grasp the meaning behind those perceptions.",""
"\Eここはただ音もなく、光もなく、何も感じない世界。
即ち無であり永遠であり終着点。","","","\E\font[3]\f[18]\-[2]This is a world devoid of sound, light, and sensation—a realm of nothingness, 
eternity, and ultimate destination.",""
"\E─ざんねん！
あなたの冒険はここで終わってしまった！","","","\E\font[3]\f[18]\-[2]What a pity! 
Your adventure has come to an end here!",""
"\E<C>BADEND
～妹爆発～","","","\E\font[3]\f[18]\-[2]<C>BAD END 
~Sister Explosion~",""
"hint","","","\font[3]\f[18]hint",""
"\E機嫌を損ねているときに悪戯してはいけません。
もっと妹を大事にしてください、お兄ちゃん失格です。","","","\E\font[3]\f[18]\-[2]You shouldn't cause mischief when she's in a bad mood. 
Please treat your sister better; you have failed as an Onii-chan.",""
"C","","","",""
"攻撃","","","",""
"技術","","","",""
"防御","","","",""
"根性","","","",""
"スキルP","","","",""
"性欲","","","",""
"お茶","","","",""
"書物","","","",""
"Hアイテム","","","",""
"\E全てのお茶を補充しました。","","","",""
"\E全ての書物を補充しました。","","","",""
"\E全てのHアイテムを補充しました。","","","",""
"D","","","",""
"時間変更","","","",""
"睡眠状態","","","",""
"Hゲージ関連","","","",""
"熱帯夜","","","",""
"射精感","","","",""
"お尻経験加算","","","",""
"0：00","","","",""
"18：00","","","",""
"睡眠を深くする","","","",""
"睡眠を浅くする","","","",""
"快楽高い","","","",""
"快楽ほどほど","","","",""
"不快高い","","","",""
"不快リセット","","","",""
"100","","","",""
"0","","","",""
"上げる","","","",""
"下げる","","","",""
"スキル取得関係","","","",""
"\f[12]習得 ""長押し""","","","\font[3]\f[12]HOLD to ACQUIRE",""
"<SQUARE><FRAME>","","","",""
"以心伝心","","","",""
"\f[16]カナの攻撃に確率で追撃が発生する。
","","","\font[3]\f[12]Kana's attack has a probability of triggering a follow-up attack.",""
"習得スキル番号","","","",""
"必要スキルPt","","","",""
"習得処理","","","",""
"献身","","","",""
"\f[16]攻撃を受け戦力が0になった際、
ユイの行動力を全て消費し回復を発動。","","\f[16]When the attack hits and the combat power becomes 0, 
consume all of Yui's action points and activate recovery.","\font[3]\f[12]When attacked and the fighting strength becomes 0, 
consume all of Yui's action points and activate recovery.",""
"機転","","","",""
"\f[16]戦闘ターン開始時の行動ポイントの回復量が
一定率で2→3になる。","","\f[16]The recovery amount of action points at the start of the battle turn becomes 2→3 at a fixed rate.
","\font[3]\f[12]The amount of action points generated each turn 
increases from 2 points to 3 points.",""
"闇営業","","","",""
"\f[16]闇のお仕事でお金を2000G得る。
必要スキルPt:40　繰り返し取得可能","","","\font[3]\f[12]Gains 2000G instantly through shady business.
Required Skill Pts: 40. 
Can be acquired repeatedly.",""
"Hスキル","","","",""
"\f[16]おさわり時に少し目覚めにくくなる。
必要スキルPt:20","","\f[16]It becomes a little harder to wake up when touched.
Required Skill Pt: 20","\font[3]\f[12]Makes it slightly harder to awaken your sister when touched.
Required Skill Pts: 20.",""
"\f[16]おさわり時に少し目覚めにくくなる。
習得済み","","","\font[3]\f[12]Makes it slightly harder to awaken your sister when touched.
Acquired.",""
"\f[16]おさわり時に少し快楽値が上がりやすくなる。
必要スキルPt:40","","","\font[3]\f[12]Makes it slightly easier to pleasure your sister when touched.
Required Skill Pts: 40.",""
